Fuente(experimento),Texp0,Texp1,Texp2,Texp3,Texp4,Texp5,Texp6 ,Texp7 ,Texp8,mean_t0,mean_t1,mean_t3,mean_t6,mean_t9,mean_t12,mean_t20,mean_t40,mean_t60,std_t0,std_t1,std_t3,std_t6,std_t9,std_t12,std_t20,std_t40,std_t60,MSE,best_error,e_ads,e_int_abs,e_des,e_int_des,e_diff,e_int_diff,lattice_size,T
Adsorcion de As+5  (60ppmSb-As),0,7.356581638,12.68969971,16.63975891,18.50177591,20.48756861,23.81874933,27.99483371,30.05058659,0.0,7.893047973001837,12.641905250117476,16.136807210901797,18.3515126660686,19.99638600538255,23.11823657567602,27.678325430390036,30.5288393352984,0.0,0.0985732481460204,0.1408715643313653,0.192589933650453,0.1780476765937325,0.2018326926260158,0.1867512380102899,0.1831968598507773,0.1684825854929076,0.1807223936205323,0.1021700004073359,0.0815060667814439,0.0422311696932552,0.272,0.0683017812482459,0.16,0.16,765,300.65297747277447
Adsorcion de As+5  (60ppmAs-As),0,20.7799351,25.25163632,27.74874869,29.96534844,32.3689566,36.38963753,43.14944172,48.68269072,0.0,17.598669444444443,24.09523333333333,28.73457222222222,31.59940833333334,33.73926111111111,37.66161666666667,43.34116388888888,46.82516666666666,0.0,0.22361729561841,0.2422021198335222,0.2525013916964462,0.2443175322533324,0.2521415871472527,0.2247999809844684,0.1649075765044778,0.1609637784191308,2.4536152429460767,1.9155439909357233,0.0401993207947784,0.0425290108476929,0.272,0.068,0.6400000000000001,0.1088113426885884,600,300.0
Adsorcion de As+5  (90ppmAs-As),0,17.06749418,22.58118143,27.20824559,29.44142746,31.86301674,35.91377591,42.7241494,48.18796409,0.0,15.750821567504778,22.59828893033291,27.46049940258004,30.48259381518459,32.73029756852841,36.89641345511248,42.912448979967536,46.60684427866832,0.0,0.1375492288966917,0.1433152893625639,0.1475726927834013,0.1531031370001689,0.1552938071260927,0.1519370158750836,0.1127104042706667,0.1195406934860096,0.792747552265695,0.6611058408244,0.0471401959955702,0.0387149602954252,0.2434441803601123,0.2672711463728667,0.5867385173417683,0.1509949336517408,737,300.0084654002319
Adsorcion de Pb  (beta -FeOOH 0.05 M-Pb),0,1.145313102,1.696100197,2.264219096,3.106471919,3.699599853,4.016499304,4.056284427,4.106165124,0.0,1.2360342462513598,1.925335473316272,2.4549339492308624,2.77486955401255,2.9838049614330053,3.473156425902276,4.129731572414446,4.548150431666527,0.0,0.1564303300688986,0.2090471923003357,0.2694140926305944,0.3035050688133818,0.340781920578193,0.4115902037268776,0.5335898360714393,0.5799499184279864,0.1350489696628602,0.037398525230443,0.1155594286777863,0.0774522700626519,0.0990430936522745,0.1661149679486498,0.16,0.118336491156461,783,300.0
Adsorcion de Sb  (beta -FeOOH 0.05 M-Sb),0,6.008902077,10.18793274,12.13402572,13.93026706,15.14193867,16.9223541,20.3264095,23.37636004,0.0,6.4769010818451385,9.897524967433784,12.402308275052894,13.994509936160972,15.180102733714582,17.394339945122454,20.731931523175135,22.79088792601695,0.0,0.1754246102179497,0.2474867053956618,0.3696987155973456,0.3618378121364864,0.4218808296484608,0.4518354234791543,0.3523464378944549,0.3319679214244538,0.1234350289636731,0.1091091689594708,0.0870419090282434,0.0513741432798697,0.1471421192319315,0.1492268291949269,0.5934632807795039,0.0853382018917549,658,300.6239171059125
Adsorcion de Sb  (60ppmSb-Sb),0,27.24176556,41.58583883,46.08447901,48.3110787,49.99238866,52.56751936,55.55139015,57.86887145,0.0,26.870586111111106,38.76728888888889,46.43162222222222,50.22054166666667,52.30236944444443,54.43603888888891,55.13021666666665,55.19525833333336,0.0,0.0669510012349184,0.0690611323393992,0.0501076113584491,0.0517241820699219,0.045101008977654,0.0374419431244995,0.0347368542503473,0.0426449462762152,3.111280648855013,3.1984561837192356,0.0347877268902813,0.0352375082199478,0.250391868734861,-0.0272,,,600,300.52522650672836
Adsorcion de Sb  (60ppmAs-Sb),0,34.5873233,41.90606475,44.3000456,46.05563155,46.96762426,48.72321021,51.98358413,54.33196534,0.0,33.137283950617274,40.78427815570672,44.37439153439153,46.45460317460317,47.96141093474427,50.418573948097766,52.32218694885361,52.63421516754852,0.0,0.0907354668617402,0.0670995983351342,0.069985674469691,0.0769817088852818,0.0765160253479376,0.0829867022457797,0.0861576858034177,0.0918025782190491,1.1538447366049125,39.79746002677549,0.0011866499579309,0.0814988046733954,0.2348752608907212,-0.0153437949812905,0.2115146611413667,-0.0390917838009851,315,300.0253589928943
Adsorcion de Sb  (60ppmHg-Sb),0,29.15406767,36.91024718,42.09263259,43.72450204,44.94840413,50.22798176,62.49100072,64.05087593,0.0,24.26346388888888,33.73929722222221,40.325950000000006,44.39892777777779,47.3580861111111,52.7878861111111,60.427108333333344,65.01389166666667,0.0,0.1325356023389403,0.1254172939260799,0.1220832365060922,0.1226593572953113,0.1151201257664422,0.0975151372785616,0.0911415438249893,0.082762270126438,6.121741673096977,5.6978752653498645,0.0392,0.0328028287195596,0.272,0.1488448374442698,0.2067893372770648,0.16,600,300.19877965039194
Adsorcion de Sb  (120ppmAs-Sb),0,21.81709538,29.43205099,34.57773731,37.28659231,39.56294104,43.52378784,51.33166401,56.11199636,0.0,19.760707548687012,27.96308811815434,33.765034652781594,37.35404112167923,39.99584317984444,44.858581080697576,51.81123836156581,56.04973426245297,0.0,0.1168085740285883,0.1219252982194373,0.122641337065397,0.125396547247277,0.1320400117456196,0.1210652584335089,0.1069978676369219,0.0904478634900791,1.0282847964938409,0.8438377275717679,0.0392,0.0352515875643101,0.272,0.272,0.6400000000000001,0.0687133279358326,727,300.6442166773533
Adsorcion de Sb  (120ppmSb-Sb),0,12.18476554,16.71079201,20.12564505,22.10006731,23.40139107,26.92393987,33.78954454,37.71595243,0.0,10.645930555555552,16.267347222222224,20.343902777777775,22.92754722222223,24.85406944444443,28.392183333333325,33.53794444444445,36.77643888888889,0.0,0.1498893489769316,0.1884631819456364,0.2177143238587474,0.2202792246519665,0.2238705064655089,0.189793768110495,0.1771123745249796,0.1683406277297448,0.9454463843597448,0.5967354021668091,0.0800845027187728,0.0404210980274898,0.272,0.111081501178155,0.1874243043104213,0.16,600,300.35878168531997
Adsorcion de Sb  (120ppmPb-Sb),0,18.82142017,24.66023983,29.10886433,30.96637668,32.98847872,36.75052904,43.80437338,48.76557724,0.0,17.75283987180007,24.362884904052905,29.017036695200613,31.970718893261395,34.12622469471378,38.11560053146171,43.867629011318904,47.40620055580349,0.0,0.21231045785047,0.2197275048493899,0.1979472004570771,0.2078435365131775,0.200443586396406,0.179675484074941,0.159522071667355,0.1476385105184307,0.8063568584163616,0.636462199607436,0.0392,0.0419849043095176,0.2477136460794064,0.1548044761332652,0.6097390484280805,0.1526765756082057,628,300.7726760373918
Adsorcion de Sb  (120ppmHg-Sb),0,20.98248332,26.78384175,32.00667302,34.74737846,37.17826501,41.96854147,50.0,55.21925643,0.0,19.086538297803894,26.945859167614262,32.482879841976505,35.92988275004777,38.45852356256706,43.1426619920572,49.83344717129995,53.93007763055576,0.0,0.1350368719363771,0.1398734067923048,0.1315706375413712,0.1236772825888147,0.1377414499279888,0.1310245581054576,0.109083566437653,0.1022839052802783,1.105921031944487,0.8754033069357321,0.0392,0.0364391257598788,0.2428623980818335,0.1478719325796904,0.2032743983512453,0.16,727,300.85264133331015
